Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Abr 2014;Benceno;Suburbana;Noroeste;Casa de Campo;0,2
Abr 2014;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,1
Abr 2014;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Abr 2014;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,4
Abr 2014;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,5
Abr 2014;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,5
May 2014;Benceno;Suburbana;Noroeste;Casa de Campo;0,2
May 2014;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;0,1
May 2014;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
May 2014;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,3
May 2014;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,4
May 2014;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,2
Jun 2014;Benceno;Suburbana;Noroeste;Casa de Campo;0,2
Jun 2014;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;
Jun 2014;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Jun 2014;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,3
Jun 2014;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,4
Jun 2014;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,2
Jul 2014;Benceno;Suburbana;Noroeste;Casa de Campo;0,1
Jul 2014;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;
Jul 2014;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Jul 2014;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,3
Jul 2014;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,4
Jul 2014;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,2
Ago 2014;Benceno;Suburbana;Noroeste;Casa de Campo;0,2
Ago 2014;Benceno;Urbana de Fondo;Noreste;Urbanización Embajada;
Ago 2014;Benceno;Urbana de Fondo;Suroeste;Farolillo;0,2
Ago 2014;Benceno;Urbana de Tráfico;Interior M-30;Cuatro Caminos;0,2
Ago 2014;Benceno;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;0,4
Ago 2014;Benceno;Urbana de Tráfico;Interior M-30;Ramón y Cajal;1,0
