Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Mar 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Abr 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;6
Abr 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;7
Abr 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Abr 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;8
Abr 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;10
Abr 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;9
Abr 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;6
Abr 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
May 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;9
May 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;12
May 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
May 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;12
May 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;12
May 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;13
May 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;7
May 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Jun 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;11
Jun 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Jun 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Jun 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;15
Jun 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;13
Jun 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;17
Jun 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;12
Jun 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Jul 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Jul 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Jul 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Jul 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;14
Jul 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;12
Jul 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
Jul 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;13
Jul 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Ago 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;13
Ago 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;17
Ago 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Ago 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;17
Ago 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;15
Ago 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;18
Ago 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;11
Ago 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Sep 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;10
Sep 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;13
Sep 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Sep 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;12
Sep 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;11
Sep 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;14
Sep 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Plaza de Castilla;11
Sep 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Suroeste;Plaza Elíptica;
Oct 2012;Partículas en suspensión < 2,5µm;Suburbana;Noroeste;Casa de Campo;9
Oct 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Interior M-30;Méndez Álvaro;11
Oct 2012;Partículas en suspensión < 2,5µm;Urbana de Fondo;Noreste;Sanchinarro;
Oct 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Castellana;12
Oct 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Cuatro Caminos;12
Oct 2012;Partículas en suspensión < 2,5µm;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;13
