Mes;Magnitud;Tipo Estación;Zona;Estación;Concentraciones medias mensuales
Jul 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;5
Jul 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;5
Jul 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;5
Jul 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;5
Jul 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;3
Jul 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;6
Jul 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;7
Ago 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;5
Ago 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;7
Ago 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;7
Ago 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;5
Ago 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;5
Ago 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;6
Ago 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;5
Ago 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;4
Ago 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Plaza de España;6
Ago 2011;Dióxido de azufre;Urbana de Tráfico;Sureste;Moratalaz;6
Sep 2011;Dióxido de azufre;Suburbana;Noroeste;Casa de Campo;4
Sep 2011;Dióxido de azufre;Urbana de Fondo;Interior M-30;Plaza del Carmen;6
Sep 2011;Dióxido de azufre;Urbana de Fondo;Noreste;Sanchinarro;6
Sep 2011;Dióxido de azufre;Urbana de Fondo;Sureste;Vallecas;5
Sep 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Farolillo;5
Sep 2011;Dióxido de azufre;Urbana de Fondo;Suroeste;Villaverde;6
Sep 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Cuatro Caminos;6
Sep 2011;Dióxido de azufre;Urbana de Tráfico;Interior M-30;Escuelas Aguirre;5
