_id,Mes,Magnitud,Tipo_Estacion,Estacion,Zona,Concentraciones_medias_mensuales,Muertes_hombre,Muertes_mujer,Muertes_totales,Total_Concentraciones_medias_mensuales,Indice_Calidad_Aire_CAQI,Indice_Calidad_Aire_Europeo
6742081cd13b2ab272855b20,01/01/2013,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,25,15,14,29,23,Muy Bueno,Bueno
6742081cd13b2ab272855b22,01/01/2013,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,40,187,175,362,49,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855b2c,01/01/2013,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,43,42,30,72,50.666666666666664,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855b37,01/02/2013,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,19,9,8,17,35,Muy Bueno,Bueno
6742081cd13b2ab272855b38,01/02/2013,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,21,13,13,26,18,Muy Bueno,Bueno
6742081cd13b2ab272855b3a,01/02/2013,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,36,162,164,326,43.5,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855b4f,01/03/2013,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,15,9,8,17,26.833333333333332,Muy Bueno,Bueno
6742081cd13b2ab272855b5a,01/03/2013,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,19,17,14,31,24,Muy Bueno,Bueno
6742081cd13b2ab272855b5c,01/03/2013,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,26,38,31,69,31.333333333333332,Muy Bueno,Bueno
6742081cd13b2ab272855b67,01/04/2013,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,13,8,7,15,23.166666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855b6a,01/04/2013,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,23,156,162,318,30.4,Muy Bueno,Bueno
6742081cd13b2ab272855b74,01/04/2013,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,25,35,28,63,32.333333333333336,Muy Bueno,Bueno
6742081cd13b2ab272855b7f,01/05/2013,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,8,9,7,16,21,Muy Bueno,Bueno
6742081cd13b2ab272855b82,01/05/2013,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,23,162,152,314,29.7,Muy Bueno,Bueno
6742081cd13b2ab272855b9a,01/06/2013,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,20,161,158,319,28.4,Muy Bueno,Bueno
6742081cd13b2ab272855baf,01/07/2013,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,15,9,8,17,21.166666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855bc7,01/08/2013,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,15,8,7,15,21.666666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855bc8,01/08/2013,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,14,12,12,24,16.5,Muy Bueno,Bueno
6742081cd13b2ab272855bca,01/08/2013,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,22,153,148,301,28.8,Muy Bueno,Bueno
6742081cd13b2ab272855bd2,01/08/2013,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,18,15,12,27,20.666666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855bdf,01/09/2013,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,23,8,7,15,32.166666666666664,Muy Bueno,Bueno
6742081cd13b2ab272855be2,01/09/2013,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,34,153,146,299,42.7,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855bea,01/09/2013,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,26,15,11,26,30.666666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855bf7,01/10/2013,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,27,9,7,16,38.833333333333336,Muy Bueno,Bueno
6742081cd13b2ab272855c02,01/10/2013,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,31,16,12,28,37.666666666666664,Muy Bueno,Bueno
6742081cd13b2ab272855c10,01/11/2013,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,26,14,13,27,21.5,Muy Bueno,Bueno
6742081cd13b2ab272855c12,01/11/2013,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,40,175,170,345,44.7,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855c27,01/12/2013,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,30,10,9,19,50.5,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855c2a,01/12/2013,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,59,195,185,380,61.6,Bueno,Razonablemente bueno
6742081cd13b2ab272855c34,01/12/2013,Dióxido de nitrógeno,Urbana de Fondo,Farolillo,Sur,59,44,32,76,70.66666666666667,Bueno,Razonablemente bueno
6742081cd13b2ab272855c42,01/01/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,36,208,209,417,44.1,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855c58,01/02/2014,Dióxido de nitrógeno,Suburbana,Casa de Campo,Oeste,18,11,14,25,15.5,Muy Bueno,Bueno
6742081cd13b2ab272855c5a,01/02/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,31,169,178,347,39.7,Muy Bueno,Bueno
6742081cd13b2ab272855c72,01/03/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,37,185,172,357,42.9,Muy Bueno,Razonablemente bueno
6742081cd13b2ab272855c8a,01/04/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,28,166,165,331,34.2,Muy Bueno,Bueno
6742081cd13b2ab272855c9f,01/05/2014,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,12,7,11,18,19.166666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855ca2,01/05/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,23,155,163,318,29.4,Muy Bueno,Bueno
6742081cd13b2ab272855cb7,01/06/2014,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,11,7,10,17,20.833333333333332,Muy Bueno,Bueno
6742081cd13b2ab272855ccf,01/07/2014,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,13,7,11,18,21.833333333333332,Muy Bueno,Bueno
6742081cd13b2ab272855cd2,01/07/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,23,160,158,318,31.9,Muy Bueno,Bueno
6742081cd13b2ab272855cea,01/08/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,19,149,156,305,25.5,Muy Bueno,Bueno
6742081cd13b2ab272855cf2,01/08/2014,Dióxido de nitrógeno,Urbana de Fondo,Ensanche de Vallecas,Este,16,16,13,29,23.333333333333332,Muy Bueno,Bueno
6742081cd13b2ab272855cff,01/09/2014,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,19,6,10,16,30.166666666666668,Muy Bueno,Bueno
6742081cd13b2ab272855d02,01/09/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,30,145,149,294,34.9,Muy Bueno,Bueno
6742081cd13b2ab272855d17,01/10/2014,Dióxido de nitrógeno,Suburbana,Juan Carlos I,Norte,27,7,11,18,38.166666666666664,Muy Bueno,Bueno
6742081cd13b2ab272855d1a,01/10/2014,Dióxido de nitrógeno,Urbana de Fondo,Méndez Álvaro,Interior M30,44,168,158,326,48.5,Muy Bueno,Razonablemente bueno
