_id;Mes;Magnitud;Tipo_Estacion;Estacion;Zona;Concentraciones_medias_mensuales;Muertes_hombre;Muertes_mujer;Muertes_totales;Total_Concentraciones_medias_mensuales;Indice_Calidad_Aire_CAQI;Indice_Calidad_Aire_Europeo;Umbrales_oms
6742081cd13b2ab272856d20;2010-01-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;20;181;173;354;11.2;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856d2d;2010-02-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;18;158;154;312;13.8;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856d3a;2010-03-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;28;156;149;305;23.6;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856d47;2010-04-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;19;157;157;314;16.8;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856d7b;2010-08-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;30;146;146;292;33.2;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856d88;2010-09-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;26;134;137;271;29.2;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856d89;2010-09-01;Partículas en suspensión < 10µm;Urbana de Fondo;Sanchinarro;Norte;22;6;5;11;21.33333333;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856da2;2010-11-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;19;158;153;311;20.8;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856db0;2010-12-01;Partículas en suspensión < 10µm;Urbana de Fondo;Sanchinarro;Norte;17;8;7;15;16.33333333;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856dbc;2011-01-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;23;192;184;376;22.6;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856dc9;2011-02-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;26;170;157;327;26.6;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856dd6;2011-03-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;21;187;162;349;21.4;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856de3;2011-04-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;30;163;153;316;30.6;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856dfd;2011-06-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;24;158;145;303;26.2;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856e0a;2011-07-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;21;156;150;306;23.8;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856e17;2011-08-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;26;152;151;303;27.2;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856e4b;2011-12-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;25;197;181;378;25.4;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856e65;2012-02-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;19;186;212;398;17.8;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856e72;2012-03-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;25;188;202;390;24.8;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856e7f;2012-04-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;13;168;180;348;15.2;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856e80;2012-04-01;Partículas en suspensión < 10µm;Urbana de Fondo;Sanchinarro;Norte;16;9;9;18;12.66666667;Muy Bueno;Bueno;Normal
6742081cd13b2ab272856e99;2012-06-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;38;161;166;327;40.8;Bueno;Regular;Normal
6742081cd13b2ab272856ea6;2012-07-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;29;152;174;326;32.6;Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856eb3;2012-08-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;43;157;167;324;43.6;Bueno;Regular;Normal
6742081cd13b2ab272856ec0;2012-09-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;23;150;151;301;24.2;Muy Bueno;Razonablemente bueno;Normal
6742081cd13b2ab272856ecd;2012-10-01;Partículas en suspensión < 10µm;Urbana de Fondo;Méndez Álvaro;Interior M30;20;153;167;320;20.4;Muy Bueno;Razonablemente bueno;Normal
